Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
To Kill a Mockingbird,Harper Lee,Classics,Fiction,Historical Fiction,School,Literature,Young Adult,Historical,to kill a mockingbird harper lee classics fiction historical fiction school literature young adult historical
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Classics,harry potter and the philosophers stone harry potter  jk rowling fantasy fiction young adult magic childrens middle grade classics
Pride and Prejudice,Jane Austen,Classics,Fiction,Romance,Historical Fiction,Literature,Historical,Audiobook,pride and prejudice jane austen classics fiction romance historical fiction literature historical audiobook
The Diary of a Young Girl,Anne Frank,Classics,Nonfiction,History,Biography,Memoir,Historical,Holocaust,the diary of a young girl anne frank classics nonfiction history biography memoir historical holocaust
Animal Farm,George Orwell,Classics,Fiction,Dystopia,Fantasy,Politics,School,Literature,animal farm george orwell classics fiction dystopia fantasy politics school literature
The Little Prince,Antoine de Saint-Exuparcy,Classics,Fiction,Fantasy,Childrens,France,Philosophy,Young Adult,the little prince antoine de saintexuparcy classics fiction fantasy childrens france philosophy young adult
1984,George Orwell,Classics,Fiction,Science Fiction,Dystopia,Literature,Novels,Politics, george orwell classics fiction science fiction dystopia literature novels politics
The Great Gatsby,F. Scott Fitzgerald,Classics,Fiction,School,Historical Fiction,Literature,Romance,Novels,the great gatsby f scott fitzgerald classics fiction school historical fiction literature romance novels
The Catcher in the Rye,J.D. Salinger,Classics,Fiction,Young Adult,Literature,School,Novels,Coming Of Age,the catcher in the rye jd salinger classics fiction young adult literature school novels coming of age
The Lord of the Rings,J.R.R. Tolkien,Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Epic Fantasy,High Fantasy,the lord of the rings jrr tolkien fantasy classics fiction adventure science fiction fantasy epic fantasy high fantasy
The Book Thief,Markus Zusak,Historical Fiction,Fiction,Young Adult,Historical,Classics,War,World War II,the book thief markus zusak historical fiction fiction young adult historical classics war world war ii
Jane Eyre,Charlotte Brontë,Classics,Fiction,Romance,Historical Fiction,Gothic,Literature,Historical,jane eyre charlotte bront classics fiction romance historical fiction gothic literature historical
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,Fantasy,Classics,Young Adult,Childrens,Christian,Adventure,Middle Grade,the chronicles of narnia chronicles of narnia  cs lewis fantasy classics young adult childrens christian adventure middle grade
Lord of the Flies,William Golding,Classics,Fiction,Young Adult,School,Literature,Dystopia,Read For School,lord of the flies william golding classics fiction young adult school literature dystopia read for school
Romeo and Juliet,William Shakespeare,Classics,Plays,Fiction,Romance,School,Drama,Read For School,romeo and juliet william shakespeare classics plays fiction romance school drama read for school
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Audiobook,harry potter and the deathly hallows harry potter  jk rowling fantasy young adult fiction magic childrens adventure audiobook
The Kite Runner,Khaled Hosseini,Fiction,Historical Fiction,Classics,Contemporary,Novels,Historical,Literature,the kite runner khaled hosseini fiction historical fiction classics contemporary novels historical literature
"The Giver (The Giver, #1)",Lois Lowry,Young Adult,Fiction,Classics,Dystopia,Science Fiction,Fantasy,School,the giver the giver  lois lowry young adult fiction classics dystopia science fiction fantasy school
The Giving Tree,Shel Silverstein,Childrens,Fiction,Picture Books,Classics,Poetry,Young Adult,Fantasy,the giving tree shel silverstein childrens fiction picture books classics poetry young adult fantasy
Charlotte's Web,E.B. White,Classics,Fiction,Childrens,Fantasy,Young Adult,Middle Grade,Animals,charlottes web eb white classics fiction childrens fantasy young adult middle grade animals
Little Women,Louisa May Alcott,Classics,Fiction,Historical Fiction,Young Adult,Romance,Historical,Literature,little women louisa may alcott classics fiction historical fiction young adult romance historical literature
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,Young Adult,Fiction,Dystopia,Fantasy,Science Fiction,Romance,Adventure,the hunger games the hunger games  suzanne collins young adult fiction dystopia fantasy science fiction romance adventure
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,Fantasy,Classics,Fiction,Adventure,Young Adult,Science Fiction Fantasy,High Fantasy,the hobbit the lord of the rings  jrr tolkien fantasy classics fiction adventure young adult science fiction fantasy high fantasy
Of Mice and Men,John Steinbeck,Classics,Fiction,School,Historical Fiction,Literature,Read For School,Novels,of mice and men john steinbeck classics fiction school historical fiction literature read for school novels
Fahrenheit 451,Ray Bradbury,Classics,Fiction,Science Fiction,Dystopia,School,Literature,Novels,fahrenheit  ray bradbury classics fiction science fiction dystopia school literature novels
